Date,Close
4/30/2017,1347.9588
5/1/2017,1402.0838
5/2/2017,1443.6825
5/3/2017,1491.9988
5/4/2017,1515.6288
5/5/2017,1512.2088
5/6/2017,1548.2863
5/7/2017,1555.4713
5/8/2017,1639.3225
5/9/2017,1706.9313
5/10/2017,1756.8025
5/11/2017,1807.3725
5/12/2017,1676.9938
5/13/2017,1759.9613
5/14/2017,1772.4163
5/15/2017,1697.3788
5/16/2017,1718.2013
5/17/2017,1802.1638
5/18/2017,1887.3263
5/19/2017,1968.1025
5/20/2017,2051.735
5/21/2017,2055.6175
5/22/2017,2139.0275
5/23/2017,2291.4775
5/24/2017,2476.2963
5/25/2017,2357.5038
5/26/2017,2247.4825
5/27/2017,2106.3075
5/28/2017,2207.5775
5/29/2017,2289.87
5/30/2017,2197.2338
,
This data was produced from the CoinDesk price page.,
http://www.coindesk.com/price/,
